,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
63,CF,22317.0,CF201,21975.0,CF205,20935.0,-342.0,-1382.0,-0.015324640408657109,-0.06192588609580141,20220105
64,SR,5740.0,SR201,5722.0,SR205,5798.0,-18.0,58.0,-0.003135888501742179,0.010104529616724811,20220105
65,TA,5103.33,TA201,5018.0,TA205,5150.0,-85.32999999999993,46.67000000000007,-0.016720455075411533,0.009145009239065471,20220105
66,OI,12800.0,OI201,12212.0,OI205,12009.0,-588.0,-791.0,-0.045937499999999964,-0.06179687499999997,20220105
67,MA,2380.0,MA201,2506.0,MA205,2579.0,126.0,199.0,0.05294117647058827,0.08361344537815119,20220105
68,FG,1916.8000000000002,FG201,1644.0,FG205,1725.0,-272.8000000000002,-191.80000000000018,-0.14232053422370627,-0.10006260434056768,20220105
69,RS,6310.0,RS207,5969.0,RS208,5961.0,-341.0,-349.0,-0.0540412044374009,-0.05530903328050718,20220105
70,RM,2950.0,RM201,3187.0,RM205,2992.0,237.0,42.0,0.08033898305084741,0.014237288135593218,20220105
71,SF,8162.5,SF201,8164.0,SF205,8326.0,1.5,163.5,0.0001837672281777003,0.020030627871362894,20220105
72,SM,7862.5,SM201,8018.0,SM205,8074.0,155.5,211.5,0.019777424483306882,0.026899841017488102,20220105
73,CY,30166.67,CY201,27270.0,CY205,28165.0,-2896.6699999999983,-2001.6699999999983,-0.09602219933456357,-0.0663536943255586,20220105
74,UR,2576.0,UR201,2574.0,UR205,2481.0,-2.0,-95.0,-0.0007763975155279379,-0.036878881987577605,20220105
75,SA,2766.67,SA201,2212.0,SA205,2237.0,-554.6700000000001,-529.6700000000001,-0.2004828909844687,-0.19144675729306349,20220105
76,CU,70543.33,cu2201,70130.0,cu2202,70250.0,-413.33000000000175,-293.33000000000175,-0.005859235734973156,-0.004158153577382917,20220105
77,AL,20323.33,al2201,20275.0,al2202,20285.0,-48.330000000001746,-38.330000000001746,-0.0023780551710769204,-0.0018860098222093225,20220105
78,ZN,24480.0,zn2201,24315.0,zn2202,24375.0,-165.0,-105.0,-0.006740196078431349,-0.0042892156862744946,20220105
79,PB,15175.0,pb2201,15210.0,pb2202,15270.0,35.0,95.0,0.0023064250411861664,0.00626029654036242,20220105
80,NI,156666.67,ni2201,154160.0,ni2202,153460.0,-2506.670000000013,-3206.670000000013,-0.016000020936169812,-0.02046810594748716,20220105
81,SN,303050.0,sn2201,305660.0,sn2202,295130.0,2610.0,-7920.0,0.008612440191387627,-0.02613430127041738,20220105
82,AU,372.84,au2201,371.38,au2206,374.46,-1.4599999999999795,1.6200000000000045,-0.003915888853127325,0.004345027357579578,20220105
83,AG,4738.67,ag2201,4730.0,ag2206,4792.0,-8.670000000000073,53.32999999999993,-0.001829627300487302,0.011254212679929099,20220105
84,RB,4743.33,rb2201,4617.0,rb2205,4422.0,-126.32999999999993,-321.3299999999999,-0.026633188076730874,-0.06774354725477671,20220105
85,WR,4900.0,wr2201,4835.0,wr2202,4493.0,-65.0,-407.0,-0.013265306122449028,-0.08306122448979592,20220105
86,HC,4924.0,hc2201,4751.0,hc2205,4540.0,-173.0,-384.0,-0.035134037367993476,-0.07798537774167347,20220105
87,FU,5230.0,fu2202,2712.0,fu2205,2866.0,-2518.0,-2364.0,-0.48145315487571705,-0.45200764818355643,20220105
88,BU,3235.2,bu2201,3206.0,bu2206,3326.0,-29.199999999999818,90.80000000000018,-0.00902571711177047,0.028066271018793332,20220105
89,RU,13680.0,ru2201,14555.0,ru2205,14840.0,875.0,1160.0,0.06396198830409361,0.08479532163742687,20220105
90,SP,5960.0,sp2201,6012.0,sp2205,6074.0,52.0,114.0,0.008724832214765055,0.019127516778523423,20220105
91,SS,17500.0,ss2201,17215.0,ss2202,17265.0,-285.0,-235.0,-0.016285714285714237,-0.013428571428571456,20220105
92,C,2668.57,c2201,2634.0,c2205,2688.0,-34.570000000000164,19.429999999999836,-0.012954503722967803,0.007281053148315397,20220106
93,CS,3300.0,cs2201,2986.0,cs2203,3000.0,-314.0,-300.0,-0.0951515151515151,-0.09090909090909094,20220106
94,A,6070.0,a2201,5937.0,a2203,5884.0,-133.0,-186.0,-0.02191103789126858,-0.030642504118616132,20220106
95,M,3570.0,m2201,3433.0,m2205,3247.0,-137.0,-323.0,-0.038375350140056,-0.09047619047619049,20220106
96,Y,9580.0,y2201,9186.0,y2205,8994.0,-394.0,-586.0,-0.04112734864300627,-0.061169102296450895,20220106
97,P,9873.33,p2201,9830.0,p2205,8810.0,-43.32999999999993,-1063.33,-0.00438859027298788,-0.1076972004379475,20220106
98,JD,4590.0,jd2201,4023.0,jd2205,4114.0,-567.0,-476.0,-0.12352941176470589,-0.10370370370370374,20220106
99,L,8740.0,l2201,8701.0,l2205,8644.0,-39.0,-96.0,-0.004462242562929042,-0.010983981693363898,20220106
100,V,8340.0,v2201,8334.0,v2205,8401.0,-6.0,61.0,-0.0007194244604316058,0.007314148681055066,20220106
